id,title,description,first_created_location,game_genre,game_type,number_players,play_time,first_published_year,image,source,latitude,longitude
1,The Legend of Zelda: Breath of the Wild,"An open-world adventure where players control Link, exploring the kingdom of Hyrule to defeat Calamity Ganon.",Japan,"{""Action-adventure""}","{""Open-world exploration""}","{1}","{Varies}",2017,https://upload.wikimedia.org/wikipedia/en/5/5e/The_Legend_of_Zelda_Breath_of_the_Wild.jpg,https://en.wikipedia.org/wiki/The_Legend_of_Zelda:_Breath_of_the_Wild,36.2048,138.2529
2,Red Dead Redemption 2,"A Western-themed action-adventure game following outlaw Arthur Morgan as he navigates the decline of the Wild West.",USA,"{""Action-adventure""}","{""Open-world"",""third-person shooter""}","{1}","{Varies}",2018,https://upload.wikimedia.org/wikipedia/en/4/44/Red_Dead_Redemption_II.jpg,https://en.wikipedia.org/wiki/Red_Dead_Redemption_2,37.0902,-95.7129
3,The Witcher 3: Wild Hunt,"Players control monster hunter Geralt of Rivia in a richly detailed fantasy world filled with quests and creatures.",Poland,"{""Action role-playing"",""Open-world""}", "{""narrative-driven""}","{1}","{Varies}",2015,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg,https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt,51.9194,19.1451
4,God of War,"A mythological action-adventure game where Kratos and his son Atreus journey through Norse realms.",USA,"{""Action-adventure"",""Third-person combat""}", "{""puzzle-solving""}","{1}","{Varies}",2018,https://upload.wikimedia.org/wikipedia/en/a/a7/God_of_War_4_cover.jpg,https://en.wikipedia.org/wiki/God_of_War_(2018_video_game),37.0902,-95.7129
5,Horizon Zero Dawn,"Players control Aloy, a hunter in a world overrun by machines, uncovering her past and the fate of civilization.",Netherlands,"{""Action role-playing"",""Open-world""}", "{""third-person shooter""}","{1}","{Varies}",2017,https://upload.wikimedia.org/wikipedia/en/0/0d/Horizon_Zero_Dawn.jpg,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn,52.1326,5.2913
6,Dark Souls III,"An action role-playing game known for its challenging combat and intricate world design.",Japan,"{""Action role-playing""}","{""Third-person combat"",exploration}",{1},{Varies},2016,https://upload.wikimedia.org/wikipedia/en/8/8d/Dark_Souls_III_cover_art.jpg,https://en.wikipedia.org/wiki/Dark_Souls_III,36.2048,138.2529
7,Persona 5,"A Japanese RPG where players lead a double life as high school students and phantom thieves, combating supernatural threats.",Japan,"{""Role-playing""}","{""Turn-based combat"",""social simulation""}",{1},{Varies},2016,https://upload.wikimedia.org/wikipedia/en/8/8d/Persona_5_cover_art.jpg,https://en.wikipedia.org/wiki/Persona_5,36.2048,138.2529
8,Overwatch,"A team-based multiplayer shooter featuring diverse heroes with unique abilities competing in objective-based modes.",USA,{First-person shooter},"{""Team-based multiplayer""}",{6},{Varies},2016,https://upload.wikimedia.org/wikipedia/en/5/51/Overwatch_cover_art.jpg,https://en.wikipedia.org/wiki/Overwatch,37.0902,-95.7129
9,Minecraft,"A sandbox game allowing players to build and explore infinite worlds made of blocks, fostering creativity and survival skills.",Sweden,"{Sandbox,survival}","{""Open-world exploration"",crafting}",{1},{Varies},2011,https://upload.wikimedia.org/wikipedia/en/5/51/Minecraft_cover.png,https://en.wikipedia.org/wiki/Minecraft,60.1282,18.6435
10,Fortnite,"A battle royale game where 100 players fight to be the last one standing, featuring building mechanics and vibrant visuals.",USA,"{Battle royale}","{""Third-person shooter"",building}",{1},{Varies},2017,https://upload.wikimedia.org/wikipedia/en/6/61/Fortnite_cover.jpg,https://en.wikipedia.org/wiki/Fortnite,37.0902,-95.7129
